id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,age_group,income_group,spending_group,customer_value_score,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,kmeans_cluster,rfm_segment,estimated_clv
33,29,Male,71951,2,6,47,Electronics,91.94,25-34,Medium,Low Spenders,34.8553,36,47,91.94,5,5,1,551,2,New Customers,25927.08
34,44,Other,86593,89,4,37,Groceries,76.95,35-44,Medium,High Spenders,69.9479,106,37,76.95,4,4,1,441,3,Others,11388.6
35,45,Other,43138,54,10,48,Sports,639.22,45-54,Low,Medium Spenders,55.0214,29,48,639.22,5,5,4,554,1,Champions,306825.60000000003
36,30,Female,73464,37,1,6,Clothing,532.51,25-34,Medium,Medium Spenders,38.8992,323,6,532.51,1,1,3,113,0,Others,3195.06
37,47,Male,108074,78,4,38,Electronics,128.2,45-54,High,High Spenders,72.00219999999999,99,38,128.2,4,4,1,441,3,Others,19486.399999999998
38,48,Other,81794,89,7,50,Electronics,967.99,45-54,Medium,High Spenders,74.6382,15,50,967.99,5,5,5,555,1,Champions,338796.5
39,31,Female,75392,43,4,29,Sports,88.44,25-34,Medium,Medium Spenders,48.1076,162,29,88.44,3,3,1,331,2,Others,10259.039999999999
40,22,Male,107057,14,5,41,Home & Garden,98.86,18-24,High,Low Spenders,48.1271,78,41,98.86,5,4,1,541,2,New Customers,20266.3
41,23,Male,70723,31,1,48,Home & Garden,713.33,18-24,Medium,Medium Spenders,36.0969,29,48,713.33,5,5,4,554,0,Champions,34239.840000000004
42,52,Male,115529,70,2,34,Clothing,192.66,45-54,High,High Spenders,66.9987,127,34,192.66,4,4,2,442,3,Others,13100.88
43,35,Male,72179,6,6,45,Home & Garden,165.18,35-44,Medium,Low Spenders,36.5037,50,45,165.18,5,5,1,551,2,New Customers,44598.600000000006
44,28,Other,62405,79,5,50,Home & Garden,956.73,25-34,Medium,High Spenders,60.8215,15,50,956.73,5,5,5,555,1,Champions,239182.5
45,50,Male,42404,45,4,31,Home & Garden,753.6,45-54,Low,Medium Spenders,39.031200000000005,148,31,753.6,4,3,4,434,0,Promising,93446.40000000001
46,49,Other,94531,28,5,42,Clothing,214.93,45-54,Medium,Low Spenders,49.9793,71,42,214.93,5,5,2,552,2,New Customers,45135.299999999996
47,56,Male,129005,40,6,8,Electronics,355.34,55-64,High,Medium Spenders,66.7815,309,8,355.34,1,1,2,112,2,Others,17056.32
48,48,Male,76317,94,9,3,Electronics,189.28,45-54,Medium,High Spenders,78.5251,344,3,189.28,1,1,2,112,3,Others,5110.56
49,19,Other,85309,65,5,10,Sports,28.55,18-24,Medium,Medium Spenders,61.692699999999995,295,10,28.55,1,1,1,111,3,Others,1427.5
50,68,Female,146519,96,2,18,Groceries,673.79,65+,High,High Spenders,86.53570000000002,239,18,673.79,2,2,4,224,3,Others,24256.44
51,61,Female,61290,83,9,35,Clothing,110.32,55-64,Medium,High Spenders,69.937,120,35,110.32,4,4,1,441,1,Others,34750.799999999996
52,24,Female,96082,83,4,36,Sports,589.35,18-24,Medium,High Spenders,70.38459999999999,113,36,589.35,4,4,3,443,3,Others,84866.40000000001
53,45,Other,134241,73,9,16,Groceries,893.44,45-54,High,High Spenders,87.6323,253,16,893.44,2,2,5,225,1,Others,128655.36000000002
54,33,Female,45136,84,9,38,Home & Garden,332.34,25-34,Low,High Spenders,65.5208,99,38,332.34,4,4,2,442,1,Others,113660.27999999998
55,56,Female,85476,55,2,41,Sports,774.5,55-64,Medium,Medium Spenders,52.05279999999999,78,41,774.5,5,4,4,544,0,Champions,63509.0
56,42,Other,73466,50,4,13,Sports,903.07,35-44,Medium,Medium Spenders,50.1698,274,13,903.07,2,2,5,225,0,Others,46959.64
57,63,Other,49607,7,9,20,Electronics,195.34,55-64,Low,Low Spenders,35.8821,225,20,195.34,2,2,2,222,2,Others,35161.200000000004
58,49,Female,112198,48,5,24,Sports,843.87,45-54,High,Medium Spenders,63.0994,197,24,843.87,3,3,5,335,0,Loyal Customers,101264.40000000001
59,43,Female,81595,12,7,1,Electronics,806.26,35-44,Medium,Low Spenders,43.2885,358,1,806.26,1,1,5,115,0,Cannot Lose Them,5643.82
60,21,Female,139387,1,5,7,Clothing,399.58,18-24,High,Low Spenders,52.2861,316,7,399.58,1,1,3,113,2,Others,13985.3
61,23,Male,69133,14,6,7,Groceries,224.86,18-24,Medium,Low Spenders,38.4099,316,7,224.86,1,1,2,112,2,Others,9444.119999999999
62,30,Other,89149,87,10,36,Clothing,174.41,25-34,Medium,High Spenders,81.9047,113,36,174.41,4,4,1,441,1,Others,62787.600000000006
63,49,Female,79992,49,8,6,Sports,636.65,45-54,Medium,Medium Spenders,59.6576,323,6,636.65,1,1,4,114,1,Cannot Lose Them,30559.199999999997
64,50,Female,85111,31,1,19,Electronics,319.05,45-54,Medium,Medium Spenders,40.1233,232,19,319.05,2,2,2,222,0,Others,6061.95
65,27,Other,90557,36,2,2,Sports,494.55,25-34,Medium,Medium Spenders,45.58710000000001,351,2,494.55,1,1,3,113,0,Others,1978.2
66,32,Male,100270,69,3,29,Home & Garden,686.05,25-34,High,Medium Spenders,63.971,162,29,686.05,3,3,4,334,0,Promising,59686.34999999999
67,36,Female,127346,75,5,7,Electronics,335.98,35-44,High,High Spenders,78.2738,316,7,335.98,1,1,2,112,3,Others,11759.300000000001
68,43,Female,87807,52,9,41,Clothing,95.08,35-44,Medium,Medium Spenders,65.5521,78,41,95.08,5,4,1,541,2,New Customers,35084.52
69,32,Male,135861,88,5,16,Electronics,103.33,25-34,High,High Spenders,86.1183,253,16,103.33,2,2,1,221,3,Price Sensitive,8266.4
70,49,Other,40936,32,9,49,Sports,495.62,45-54,Low,Medium Spenders,43.5708,22,49,495.62,5,5,3,553,1,New Customers,218568.42
71,23,Female,66376,60,1,18,Electronics,77.73,18-24,Medium,Medium Spenders,46.092800000000004,239,18,77.73,2,2,1,221,3,Price Sensitive,1399.14
72,58,Other,56120,30,3,50,Groceries,880.23,55-64,Medium,Medium Spenders,35.336,15,50,880.23,5,5,5,555,0,Champions,132034.5
73,31,Female,112452,21,1,5,Groceries,552.21,25-34,High,Low Spenders,44.185599999999994,330,5,552.21,1,1,3,113,0,Others,2761.05
74,38,Female,102944,63,8,9,Home & Garden,92.69,35-44,High,Medium Spenders,72.17320000000001,302,9,92.69,1,1,1,111,3,Others,6673.68
75,58,Other,143037,56,8,42,Groceries,57.57,55-64,High,Medium Spenders,81.7311,71,42,57.57,5,5,1,551,2,New Customers,19343.52
76,60,Female,131101,68,8,28,Home & Garden,522.95,55-64,High,Medium Spenders,82.81030000000001,169,28,522.95,3,3,3,333,1,Others,117140.80000000002
77,49,Male,30708,4,1,36,Groceries,990.0,45-54,Low,Low Spenders,13.172399999999998,113,36,990.0,4,4,5,445,0,Champions,35640.0
78,32,Other,44048,20,7,10,Clothing,41.55,25-34,Low,Low Spenders,35.3144,295,10,41.55,1,1,1,111,2,Others,2908.5
79,30,Other,95501,27,3,14,Groceries,476.25,25-34,Medium,Low Spenders,45.5903,267,14,476.25,2,2,3,223,0,Others,20002.5
80,68,Other,45092,54,4,40,Electronics,738.6,65+,Low,Medium Spenders,43.5276,85,40,738.6,4,4,4,444,0,Loyal Customers,118176.0
81,65,Other,117157,90,9,39,Electronics,812.36,65+,High,High Spenders,89.5371,92,39,812.36,4,4,5,445,1,Champions,285138.36
82,36,Female,148542,60,1,17,Groceries,15.66,35-44,High,Medium Spenders,70.7326,246,17,15.66,2,2,1,221,3,Price Sensitive,266.22
83,36,Female,99427,94,8,15,Sports,265.04,35-44,Medium,High Spenders,83.5781,260,15,265.04,2,2,2,222,3,Others,31804.800000000003
84,56,Male,58971,77,9,35,Electronics,13.16,55-64,Medium,High Spenders,66.84129999999999,120,35,13.16,4,4,1,441,3,Others,4145.400000000001
85,19,Male,101100,43,3,14,Clothing,392.36,18-24,High,Medium Spenders,53.67,267,14,392.36,2,2,3,223,3,Others,16479.12
86,31,Other,61849,24,6,31,Home & Garden,120.8,25-34,Medium,Low Spenders,40.4647,148,31,120.8,4,3,1,431,2,Others,22468.8
87,59,Male,47990,3,10,48,Home & Garden,755.92,55-64,Low,Low Spenders,36.077,29,48,755.92,5,5,4,554,1,Champions,362841.6
88,31,Male,55100,20,7,31,Sports,59.84,25-34,Medium,Low Spenders,38.84,148,31,59.84,4,3,1,431,2,Others,12985.28
89,18,Other,105470,8,7,4,Clothing,746.18,18-24,High,Low Spenders,48.881,337,4,746.18,1,1,4,114,2,Cannot Lose Them,20893.039999999997
90,45,Other,63381,80,4,8,Home & Garden,754.24,45-54,Medium,High Spenders,59.0943,309,8,754.24,1,1,4,114,0,Cannot Lose Them,24135.68
91,32,Other,92089,16,1,47,Home & Garden,209.86,25-34,Medium,Low Spenders,36.4967,36,47,209.86,5,5,2,552,2,New Customers,9863.42
92,39,Other,104031,67,6,28,Home & Garden,930.36,35-44,High,Medium Spenders,70.2893,169,28,930.36,3,3,5,335,1,Loyal Customers,156300.48
93,65,Male,62792,83,8,11,Electronics,230.58,65+,Medium,High Spenders,68.1476,288,11,230.58,1,1,2,112,3,Others,20291.04
94,46,Other,113116,7,10,13,Clothing,190.55,45-54,High,Low Spenders,56.864799999999995,274,13,190.55,2,2,2,222,2,Others,24771.5
95,30,Other,75926,97,10,19,Sports,670.87,25-34,Medium,High Spenders,81.7678,232,19,670.87,2,2,4,224,1,Others,127465.3
96,23,Male,108480,46,10,21,Clothing,377.31,18-24,High,Medium Spenders,71.154,218,21,377.31,2,2,2,222,2,Others,79235.1
97,63,Other,102834,31,7,20,Electronics,582.57,55-64,High,Medium Spenders,57.4502,225,20,582.57,2,2,3,223,2,Others,81559.80000000002
98,49,Male,46695,99,9,26,Clothing,674.7,45-54,Low,High Spenders,71.8685,183,26,674.7,3,3,4,334,1,Promising,157879.80000000002
99,21,Other,105024,45,3,32,Sports,795.84,18-24,High,Medium Spenders,55.8272,141,32,795.84,4,4,4,444,0,Loyal Customers,76400.64
100,26,Female,59496,58,2,50,Clothing,23.33,25-34,Medium,Medium Spenders,45.5488,15,50,23.33,5,5,1,551,3,New Customers,2333.0
101,40,Female,115569,1,2,5,Groceries,241.91,35-44,High,Low Spenders,39.12069999999999,330,5,241.91,1,1,2,112,2,Others,2419.1
102,18,Male,49346,70,7,38,Groceries,127.14,18-24,Low,High Spenders,57.1838,99,38,127.14,4,4,1,441,3,Others,33819.24
103,19,Male,75430,50,7,32,Clothing,532.51,18-24,Medium,Medium Spenders,56.949000000000005,141,32,532.51,4,4,3,443,1,Others,119282.23999999999
104,60,Female,142407,4,2,1,Sports,29.58,55-64,High,Low Spenders,48.332100000000004,358,1,29.58,1,1,1,111,2,Others,59.16
105,20,Other,34982,7,2,45,Clothing,597.15,18-24,Low,Low Spenders,17.744600000000002,50,45,597.15,5,5,3,553,0,New Customers,53743.5
106,55,Female,147187,37,7,27,Electronics,941.67,55-64,High,Medium Spenders,73.2261,176,27,941.67,3,3,5,335,1,Loyal Customers,177975.63
107,19,Other,37993,59,6,30,Sports,873.8,18-24,Low,Medium Spenders,47.2979,155,30,873.8,3,3,5,335,0,Loyal Customers,157284.0
108,65,Male,81753,72,9,21,Home & Garden,633.63,65+,Medium,High Spenders,71.5359,218,21,633.63,2,2,4,224,1,Others,119756.06999999999
109,57,Female,81695,90,8,44,Electronics,179.8,55-64,Medium,High Spenders,76.9485,57,44,179.8,5,5,2,552,1,New Customers,63289.600000000006
110,56,Female,40676,86,7,38,Home & Garden,627.65,55-64,Low,High Spenders,60.982800000000005,99,38,627.65,4,4,4,444,1,Loyal Customers,166954.9
111,37,Male,111242,33,5,34,Sports,756.32,35-44,High,Medium Spenders,56.912600000000005,127,34,756.32,4,4,4,444,0,Loyal Customers,128574.40000000001
112,64,Male,87006,85,7,20,Clothing,930.73,55-64,Medium,High Spenders,74.3018,225,20,930.73,2,2,5,225,1,Others,130302.19999999998
113,58,Male,82856,33,7,20,Groceries,450.72,55-64,Medium,Medium Spenders,52.2568,225,20,450.72,2,2,3,223,2,Others,63100.80000000001
114,32,Male,35514,4,5,36,Sports,415.44,25-34,Low,Low Spenders,22.6142,113,36,415.44,4,4,3,443,2,Others,74779.2
115,64,Male,87595,11,5,21,Electronics,69.78,55-64,Medium,Low Spenders,40.8885,218,21,69.78,2,2,1,221,2,Price Sensitive,7326.900000000001
116,59,Male,125014,89,7,42,Home & Garden,451.82,55-64,High,High Spenders,87.5242,71,42,451.82,5,5,3,553,1,New Customers,132835.08
117,62,Male,128322,44,4,31,Electronics,668.91,55-64,High,Medium Spenders,64.4066,148,31,668.91,4,3,4,434,0,Promising,82944.84
118,62,Male,48693,36,9,44,Home & Garden,755.67,55-64,Low,Medium Spenders,47.4479,57,44,755.67,5,5,4,554,1,Champions,299245.31999999995
119,33,Male,113154,75,8,46,Groceries,895.58,25-34,High,High Spenders,80.4062,43,46,895.58,5,5,5,555,1,Champions,329573.44
120,68,Female,78309,12,2,49,Clothing,848.14,65+,Medium,Low Spenders,32.7827,22,49,848.14,5,5,5,555,0,Champions,83117.72
121,47,Female,112072,50,5,21,Groceries,884.19,45-54,High,Medium Spenders,63.8316,218,21,884.19,2,2,5,225,0,Others,92839.95000000001
122,43,Male,42855,66,6,23,Electronics,138.51,35-44,Low,Medium Spenders,51.4865,204,23,138.51,3,2,1,321,3,Others,19114.379999999997
123,26,Other,55515,29,9,37,Sports,50.57,25-34,Medium,Low Spenders,46.6245,106,37,50.57,4,4,1,441,2,Others,16839.809999999998
124,30,Male,51454,94,8,17,Home & Garden,553.35,25-34,Medium,High Spenders,69.20620000000001,246,17,553.35,2,2,3,223,1,Others,75255.6
125,66,Other,69362,58,1,23,Clothing,960.08,65+,Medium,Medium Spenders,46.2386,204,23,960.08,3,3,5,335,0,Loyal Customers,22081.84
126,26,Female,69795,60,9,29,Electronics,389.37,25-34,Medium,Medium Spenders,63.228500000000004,162,29,389.37,3,3,3,333,1,Others,101625.56999999999
127,58,Male,32860,90,5,18,Sports,405.05,55-64,Low,High Spenders,56.038,239,18,405.05,2,2,3,223,3,Others,36454.5
128,40,Other,81037,70,10,45,Electronics,370.75,35-44,Medium,High Spenders,72.7611,50,45,370.75,5,5,2,552,1,New Customers,166837.5
129,67,Other,40385,64,1,17,Sports,957.06,65+,Low,Medium Spenders,39.8855,246,17,957.06,2,2,5,225,0,Others,16270.019999999999
130,61,Female,131607,25,7,26,Clothing,714.15,55-64,High,Low Spenders,63.74209999999999,183,26,714.15,3,3,4,334,1,Promising,129975.29999999999
131,51,Male,42337,70,9,28,Sports,914.97,45-54,Low,High Spenders,58.9811,169,28,914.97,3,3,5,335,1,Loyal Customers,230572.44
132,67,Female,116124,78,10,28,Home & Garden,11.29,65+,High,High Spenders,86.3172,169,28,11.29,3,3,1,331,1,Others,3161.2
133,25,Other,94016,85,8,49,Groceries,764.28,25-34,Medium,High Spenders,78.6948,22,49,764.28,5,5,4,554,1,Champions,299597.76
134,26,Male,62131,91,6,18,Sports,70.56,25-34,Medium,High Spenders,67.2193,239,18,70.56,2,2,1,221,3,Price Sensitive,7620.48
135,29,Female,100290,85,8,29,Clothing,480.87,25-34,High,High Spenders,80.37700000000001,162,29,480.87,3,3,3,333,1,Others,111561.84
136,31,Male,145261,25,10,37,Sports,378.4,25-34,High,Low Spenders,73.9483,106,37,378.4,4,4,2,442,2,Others,140008.0
137,48,Male,81763,49,6,46,Sports,179.25,45-54,Medium,Medium Spenders,56.5889,43,46,179.25,5,5,2,552,2,New Customers,49473.0
138,67,Female,120561,66,2,21,Clothing,798.2,65+,High,Medium Spenders,66.7783,218,21,798.2,2,2,4,224,0,Others,33524.4
139,18,Female,99638,33,8,23,Groceries,316.27,18-24,Medium,Medium Spenders,59.3214,204,23,316.27,3,3,2,332,2,Others,58193.67999999999
140,18,Female,78097,84,3,26,Clothing,453.34,18-24,Medium,High Spenders,63.2891,183,26,453.34,3,3,3,333,3,Others,35360.520000000004
141,23,Other,67237,85,9,40,Electronics,673.02,18-24,Medium,High Spenders,72.5711,85,40,673.02,4,4,4,444,1,Loyal Customers,242287.19999999998
142,37,Male,61695,13,5,45,Home & Garden,18.49,35-44,Medium,Low Spenders,34.158500000000004,50,45,18.49,5,5,1,551,2,New Customers,4160.25
143,55,Other,101084,73,9,24,Groceries,624.81,55-64,High,High Spenders,77.7652,197,24,624.81,3,3,4,334,1,Promising,134958.96
144,41,Female,82613,49,3,10,Home & Garden,421.24,35-44,Medium,Medium Spenders,50.4839,295,10,421.24,1,1,3,113,3,Others,12637.199999999999
145,44,Other,122987,29,10,25,Electronics,898.68,35-44,High,Low Spenders,68.7461,190,25,898.68,3,3,5,335,1,Loyal Customers,224670.0
146,58,Other,90389,17,5,12,Electronics,855.21,55-64,Medium,Low Spenders,44.036699999999996,281,12,855.21,2,1,5,215,0,Cannot Lose Them,51312.600000000006
147,69,Male,90929,2,10,29,Electronics,518.7,65+,Medium,Low Spenders,48.3687,162,29,518.7,3,3,3,333,2,Others,150423.0
148,47,Female,104517,91,2,6,Home & Garden,979.41,45-54,High,High Spenders,71.8151,323,6,979.41,1,1,5,115,0,Cannot Lose Them,11752.92
149,34,Other,79949,89,3,19,Groceries,273.34,25-34,Medium,High Spenders,65.7747,232,19,273.34,2,2,2,222,3,Others,15580.379999999997
150,54,Male,100745,29,6,42,Clothing,335.15,45-54,High,Low Spenders,54.243500000000004,71,42,335.15,5,5,2,552,2,New Customers,84457.79999999999
151,55,Other,138064,86,5,22,Electronics,368.75,55-64,High,High Spenders,86.0392,211,22,368.75,2,2,2,222,3,Others,40562.5
152,45,Female,79721,20,1,1,Home & Garden,215.41,45-54,Medium,Low Spenders,33.9263,358,1,215.41,1,1,2,112,2,Others,215.41
153,43,Male,33030,61,8,40,Groceries,711.04,35-44,Low,Medium Spenders,50.709,85,40,711.04,4,4,4,444,1,Loyal Customers,227532.8
154,30,Other,78653,43,4,2,Electronics,933.73,25-34,Medium,Medium Spenders,48.815900000000006,351,2,933.73,1,1,5,115,0,Cannot Lose Them,7469.84
155,53,Other,146312,58,2,32,Electronics,880.78,45-54,High,Medium Spenders,71.4136,141,32,880.78,4,4,5,445,0,Champions,56369.92
156,24,Female,103766,77,4,25,Home & Garden,663.21,18-24,High,High Spenders,70.1798,190,25,663.21,3,3,4,334,3,Promising,66321.0
157,69,Female,51990,59,2,37,Clothing,762.41,65+,Medium,Medium Spenders,43.567,106,37,762.41,4,4,4,444,0,Loyal Customers,56418.34
158,61,Other,46738,36,3,26,Groceries,393.6,55-64,Low,Medium Spenders,34.6814,183,26,393.6,3,3,3,333,0,Others,30700.800000000003
159,58,Other,107818,70,5,24,Home & Garden,722.18,55-64,High,High Spenders,70.58539999999999,197,24,722.18,3,3,4,334,1,Promising,86661.6
160,36,Other,83511,28,5,49,Home & Garden,367.97,35-44,Medium,Low Spenders,46.7433,22,49,367.97,5,5,2,552,2,New Customers,90152.65000000001
161,69,Female,117782,18,1,15,Sports,762.55,65+,High,Low Spenders,44.684599999999996,260,15,762.55,2,2,4,224,0,Others,11438.25
162,64,Other,122472,75,1,17,Sports,771.33,55-64,High,High Spenders,68.9116,246,17,771.33,2,2,4,224,0,Others,13112.61
163,45,Male,76259,72,5,41,Sports,228.88,45-54,Medium,High Spenders,62.0877,78,41,228.88,5,4,2,542,3,New Customers,46920.4
164,60,Other,98771,37,8,42,Sports,520.37,55-64,Medium,Medium Spenders,60.8513,71,42,520.37,5,5,3,553,1,New Customers,174844.32
165,64,Other,96494,10,4,47,Home & Garden,184.45,55-64,Medium,Low Spenders,41.4182,36,47,184.45,5,5,2,552,2,New Customers,34676.6
166,41,Female,48155,19,10,36,Groceries,566.65,35-44,Low,Low Spenders,42.4065,113,36,566.65,4,4,3,443,1,Others,203993.99999999997
167,18,Other,46707,61,10,16,Clothing,18.6,18-24,Low,Medium Spenders,58.5721,253,16,18.6,2,2,1,221,2,Price Sensitive,2976.0
168,36,Other,87275,82,9,2,Clothing,14.52,35-44,Medium,High Spenders,77.0025,351,2,14.52,1,1,1,111,3,Others,261.36
169,51,Female,58930,95,5,33,Sports,115.09,45-54,Medium,High Spenders,66.009,134,33,115.09,4,4,1,441,3,Others,18989.850000000002
170,37,Male,33987,60,8,39,Groceries,975.1,35-44,Low,Medium Spenders,50.5861,92,39,975.1,4,4,5,445,1,Champions,304231.2
171,21,Male,140801,13,3,43,Home & Garden,82.88,18-24,High,Low Spenders,53.8703,64,43,82.88,5,5,1,551,2,New Customers,10691.519999999999
172,19,Male,98446,25,4,34,Groceries,696.59,18-24,Medium,Low Spenders,47.8738,127,34,696.59,4,4,4,444,0,Loyal Customers,94736.24
173,56,Female,111754,96,8,38,Home & Garden,631.06,55-64,High,High Spenders,88.3062,99,38,631.06,4,4,4,444,1,Loyal Customers,191842.24
174,47,Other,66932,89,5,9,Home & Garden,861.66,45-54,Medium,High Spenders,65.7696,302,9,861.66,1,1,5,115,0,Cannot Lose Them,38774.7
175,33,Female,81766,86,1,16,Sports,160.11,25-34,Medium,High Spenders,61.0898,253,16,160.11,2,2,1,221,3,Price Sensitive,2561.76
176,34,Male,79572,62,2,24,Sports,843.15,25-34,Medium,Medium Spenders,52.9116,197,24,843.15,3,3,5,335,0,Loyal Customers,40471.2
177,65,Other,123680,30,2,35,Electronics,218.74,65+,High,Medium Spenders,53.454,120,35,218.74,4,4,2,442,2,Others,15311.800000000001
178,67,Female,130300,75,5,27,Electronics,94.32,65+,High,High Spenders,79.36,176,27,94.32,3,3,1,331,3,Others,12733.199999999999
179,45,Female,102050,57,8,39,Groceries,263.93,45-54,High,Medium Spenders,69.80499999999999,92,39,263.93,4,4,2,442,1,Others,82346.16
180,48,Male,121325,30,3,35,Home & Garden,624.36,45-54,High,Medium Spenders,54.7475,120,35,624.36,4,4,4,444,0,Loyal Customers,65557.8
181,49,Male,76202,83,3,6,Groceries,208.79,45-54,Medium,High Spenders,62.1206,323,6,208.79,1,1,2,112,3,Others,3758.2200000000003
182,40,Male,136323,36,6,25,Electronics,625.28,35-44,High,Medium Spenders,67.5469,190,25,625.28,3,3,4,334,2,Promising,93792.0
183,43,Female,32512,95,4,49,Home & Garden,223.39,35-44,Low,High Spenders,56.2436,22,49,223.39,5,5,2,552,3,New Customers,43784.439999999995
184,27,Male,63313,8,10,42,Groceries,35.01,25-34,Medium,Low Spenders,42.6139,71,42,35.01,5,5,1,551,2,New Customers,14704.199999999999
185,41,Female,104337,91,6,27,Home & Garden,401.63,35-44,High,High Spenders,79.97109999999999,176,27,401.63,3,3,3,333,3,Others,65064.06
186,40,Other,124138,84,10,41,Groceries,426.62,35-44,High,High Spenders,91.25139999999999,78,41,426.62,5,4,3,543,1,Loyal Customers,174914.2
187,35,Male,137307,32,6,24,Electronics,111.27,35-44,High,Medium Spenders,66.23209999999999,197,24,111.27,3,3,1,331,2,Others,16022.880000000001
